id,name,average,usersrated,number of comments,complexity votes,average complexity,year published,min player number,max player number,min play time,max play time,expected play time,minimum age limit,category,mechanism,game designer,publisher,url
224517,Brass: Birmingham,8.5978,45924,6508,2269,3.8775,2018,2,4,60,120,120,14,Economic // Post-Napoleonic // Trains // Age of Reason // Transportation // Industry / Manufacturing,Loans // Network and Route Building // Market // Hand Management // Tech Trees / Tech Tracks // Turn Order: Stat-Based // Variable Set-up // Tags // Income,Matt Tolman // Gavan Brown // Martin Wallace,Funforge // BoardM Factory // Lanlalen // Gém Klub Kft. // CMON Global Limited // 盒拍工作室 Hepa Studio // Rebel Sp. z o.o. // Ghenos Games // Lord of Boards // Arclight Games // Conclave Editora // Dexker Games // Maldito Games // TLAMA games // PHALANX // Giant Roc // Board Game Rookie // White Goblin Games // Roxley // CrowD Games,https://boardgamegeek.com/xmlapi2/thing?id=224517&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
161936,Pandemic Legacy: Season 1,8.52747,53515,8031,1467,2.8303,2015,2,4,60,60,60,13,Medical // Environmental,Variable Player Powers // Cooperative Game // Hand Management // Action Points // Scenario / Mission / Campaign Game // Legacy Game // Point to Point Movement // Set Collection // Trading // Tags,Matt Leacock // Rob Daviau,Z-Man Games // Lifestyle Boardgames Ltd // Hobby Japan // Devir // Korea Boardgames // Asterion Press // Gém Klub Kft. // Jolly Thinkers // Ігромаг // MINDOK // Filosofia Éditions // Lacerta,https://boardgamegeek.com/xmlapi2/thing?id=161936&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
174430,Gloomhaven,8.58904,62182,10902,2584,3.9129,2017,1,4,60,120,120,14,Fighting // Miniatures // Adventure // Fantasy // Exploration,Communication Limits // Variable Player Powers // Cooperative Game // Simultaneous Action Selection // Critical Hits and Failures // Legacy Game // Tags // Campaign / Battle Card Driven // Deck Construction // Solo / Solitaire Game // Action Queue // Narrative Choice / Paragraph // Card Play Conflict Resolution // Line of Sight // Action Retrieval // Hexagon Grid // Role Playing // Hand Management // Scenario / Mission / Campaign Game // Multi-Use Cards // Modular Board // Grid Movement // Once-Per-Game Abilities,Isaac Childres,"Games Warehouse // MYBG Co., Ltd. // Arclight Games // Albi Polska // Feuerland Spiele // Korea Boardgames // Galápagos Jogos // Gém Klub Kft. // Hobby World // Cephalofair Games // Albi",https://boardgamegeek.com/xmlapi2/thing?id=174430&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
342942,Ark Nova,8.53493,43527,5908,2361,3.7662,2021,1,4,90,150,150,14,Economic // Animals // Environmental,Open Drafting // Variable Player Powers // Variable Set-up // Hand Management // Increase Value of Unchosen Resources // Grid Coverage // End Game Bonuses // Solo / Solitaire Game // Race // Hexagon Grid // Tile Placement // Set Collection // Action Queue // Tags // Income,Mathias Wigge,Capstone Games // テンデイズゲームズ(TendaysGames) // Gém Klub Kft. // MINDOK // Grok Games // CMON Global Limited // MIPL // Game Harbor // Korea Boardgames // Tower Tactic Games // Cranio Creations // Ludofy Creative // Maldito Games // Super Meeple // White Goblin Games // Feuerland Spiele // Portal Games // Regatul Jocurilor // IGAMES // Lautapelit.fi,https://boardgamegeek.com/xmlapi2/thing?id=342942&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
233078,Twilight Imperium: Fourth Edition,8.60175,23816,3594,1186,4.3187,2017,3,6,240,480,480,14,Economic // Space Exploration // Political // Wargame // Negotiation // Civilization // Exploration // Science Fiction,Movement Points // Variable Player Powers // Action Drafting // Follow // Increase Value of Unchosen Resources // Tech Trees / Tech Tracks // Race // Voting // Hexagon Grid // Modular Board // Area-Impulse // Variable Phase Order // King of the Hill // Grid Movement // Dice Rolling // Trading // Variable Set-up,Christian T. Petersen // Corey Konieczka // Dane Beltrami,sternenschimmermeer // Galakta // Arclight Games // Geekach Games // Edge Entertainment // Asterion Press // Galápagos Jogos // Playfun Games // Hobby World // ADC Blackfire Entertainment // Fantasy Flight Games,https://boardgamegeek.com/xmlapi2/thing?id=233078&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
316554,Dune: Imperium,8.43487,45489,6185,1659,3.0482,2020,1,4,60,120,120,14,Science Fiction // Novel-based // Movies / TV / Radio theme // Political,"Variable Player Powers // Increase Value of Unchosen Resources // Force Commitment // Worker Placement // Deck, Bag, and Pool Building // Delayed Purchase // Race // Solo / Solitaire Game // Take That // Multi-Use Cards // Turn Order: Progressive // Open Drafting // Tags // Card Play Conflict Resolution",Paul Dennen,Dire Wolf // sternenschimmermeer // Arclight Games // YingDi (旅法师营地) // Lavka Games // Geekach Games // Reflexshop // Galápagos Jogos // Broadway Toys LTD // REXhry // Lucky Duck Games // Tabletop KZ,https://boardgamegeek.com/xmlapi2/thing?id=316554&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
167791,Terraforming Mars,8.35958,99059,14195,4141,3.263,2016,1,5,120,120,120,12,Economic // Industry / Manufacturing // Environmental // Space Exploration // Territory Building // Science Fiction,Victory Points as a Resource // Closed Drafting // Variable Player Powers // Variable Set-up // Hand Management // End Game Bonuses // Solo / Solitaire Game // Take That // Tech Trees / Tech Tracks // Contracts // Hexagon Grid // Tile Placement // Turn Order: Progressive // Set Collection // Tags // Income,Jacob Fryxelius,"MYBG Co., Ltd. // Schwerkraft-Verlag // Kaissa Chess & Games // Fantasmagoria // Kilogames // SuperHeated Neurons // Lex Games // MINDOK // MeepleBR // MIPL // Stronghold Games // Lavka Games // Korea Boardgames // Reflexshop // Rebel Sp. z o.o. // Ghenos Games // Surfin' Meeple China // Brädspel.se // Green Elephant Games // Arclight Games // Maldito Games // FryxGames // NeoTroy Games // Intrafin Games // Siam Board Games // Lautapelit.fi",https://boardgamegeek.com/xmlapi2/thing?id=167791&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
115746,War of the Ring: Second Edition,8.54238,21354,3727,1194,4.2152,2011,2,4,150,180,180,13,Novel-based // Fighting // Miniatures // Wargame // Territory Building // Fantasy,Campaign / Battle Card Driven // Movement Points // Team-Based Game // Action Drafting // Hand Management // Area Movement // Events // Area Majority / Influence // Dice Rolling // Variable Set-up // Card Play Conflict Resolution,Roberto Di Meglio // Marco Maggi // Francesco Nepitello,Zhiyanjia // Angry Lion Games // Galakta // Heidelberger Spieleverlag // Schwerkraft-Verlag // Sophisticated Games // Devir // Geekach Games // Red Glove // REXhry // Ares Games // Planplay // GaGa Games // Nuts! Publishing,https://boardgamegeek.com/xmlapi2/thing?id=115746&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
187645,Star Wars: Rebellion,8.42049,32457,4943,1147,3.7411,2016,2,4,180,240,240,14,Space Exploration // Miniatures // Wargame // Civil War // Movies / TV / Radio theme // Science Fiction,"Variable Player Powers // Take That // Contracts // Worker Placement, Different Worker Types // Tags // Area Movement // Events // Area Majority / Influence // Variable Set-up // Card Play Conflict Resolution // Team-Based Game // Delayed Purchase // Die Icon Resolution // Area-Impulse // Income // Hand Management // Hidden Movement // Dice Rolling // Once-Per-Game Abilities",Corey Konieczka,Galakta // Heidelberger Spieleverlag // Geekach Games // Korea Boardgames // Edge Entertainment // Asterion Press // Galápagos Jogos // Delta Vision Publishing // Hobby World // ADC Blackfire Entertainment // Fantasy Flight Games,https://boardgamegeek.com/xmlapi2/thing?id=187645&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
291457,Gloomhaven: Jaws of the Lion,8.44074,34279,4959,1010,3.6426,2020,1,4,30,120,120,14,Fighting // Miniatures // Adventure // Fantasy // Exploration,Communication Limits // Campaign / Battle Card Driven // Variable Player Powers // Cooperative Game // Simultaneous Action Selection // Hand Management // Line of Sight // Action Retrieval // Deck Construction // Critical Hits and Failures // Scenario / Mission / Campaign Game // Solo / Solitaire Game // Legacy Game // Multi-Use Cards // Hexagon Grid // Grid Movement // Once-Per-Game Abilities // Action Queue,Isaac Childres,Lord of Boards // Arclight Games // Albi Polska // Feuerland Spiele // Meanbook Games // Korea Boardgames // Siam Board Games // Galápagos Jogos // Gém Klub Kft. // Hobby World // CoolPlay // Cephalofair Games // Albi,https://boardgamegeek.com/xmlapi2/thing?id=291457&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
162886,Spirit Island,8.34435,51537,8193,2876,4.0685,2017,1,4,90,120,120,13,Fighting // Environmental // Mythology // Territory Building // Fantasy,Campaign / Battle Card Driven // Variable Player Powers // Automatic Resource Growth // Cooperative Game // Simultaneous Action Selection // Hand Management // Action Retrieval // Solo / Solitaire Game // Area Majority / Influence // Modular Board // Variable Set-up // Tags,R. Eric Reuss,"Fabled Nexus // Intrafin Games // Engames // BoardM Factory // Fox in the Box // Arrakis Games // Ace Studios // REXhry // Siam Board Games // Gém Klub Kft. // Pegasus Spiele // Greater Than Games, LLC // Hobby World // Ghenos Games // Games7Days // One Moment Games // 999 Games // Lacerta",https://boardgamegeek.com/xmlapi2/thing?id=162886&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
220308,Gaia Project,8.37727,27148,3870,1708,4.3923,2017,1,4,60,150,150,12,Economic // Space Exploration // Miniatures // Territory Building // Civilization // Science Fiction,Victory Points as a Resource // Variable Player Powers // Network and Route Building // End Game Bonuses // Solo / Solitaire Game // Tech Trees / Tech Tracks // Hexagon Grid // Modular Board // Variable Set-up // Turn Order: Pass Order // Tags // Income,Jens Drögemüller // Helge Ostertag,Rozum // Mandala Jogos // Super Meeple // Z-Man Games // White Goblin Games // DiceTree Games // TLAMA games // Feuerland Spiele // Capstone Games // Portal Games // Game Harbor // Reflexshop // テンデイズゲームズ(TendaysGames) // Edge Entertainment // Games Factory // Maldito Games // Cranio Creations // Hobby World,https://boardgamegeek.com/xmlapi2/thing?id=220308&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
12333,Twilight Struggle,8.24711,48800,10086,3961,3.6097,2005,2,2,120,180,180,13,Wargame // Political // Modern Warfare,Campaign / Battle Card Driven // Simultaneous Action Selection // Hand Management // Action/Event // Events // Advantage Token // Simulation // Sudden Death Ending // Area Majority / Influence // Tug of War // Dice Rolling // Variable Set-up,Jason Matthews // Ananda Gupta,PHALANX // Wargames Club Publishing // DiceTree Games // Chrononauts Games // Devir // Udo Grebe Gamedesign // Bard Centrum Gier // Asterion Press // Pixie Games // MINDOK // GaGa Games // GMT Games,https://boardgamegeek.com/xmlapi2/thing?id=12333&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
182028,Through the Ages: A New Story of Civilization,8.29018,31646,4707,1583,4.4359,2015,2,4,120,120,120,14,Economic // Civilization // Card Game,Action Points // Events // Take That // Open Drafting // Auction: Dutch // Tags // Income // Auction/Bidding,Vlaada Chvátil,"HeidelBÄR Games // Czech Games Edition // Feelindigo // New Games Order, LLC // Heidelberger Spieleverlag // DiceTree Games // Eagle-Gryphon Games // HaKubia // Devir // Rebel Sp. z o.o. // Gém Klub Kft. // IELLO // MINDOK // Cranio Creations // GaGa Games // One Moment Games",https://boardgamegeek.com/xmlapi2/thing?id=182028&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
193738,Great Western Trail,8.1943,40866,5297,1600,3.6994,2016,2,4,75,150,150,12,Economic // American West // Animals,"Hand Management // Deck, Bag, and Pool Building // Track Movement // Set Collection // Ownership // Variable Set-up",Alexander Pfister,Zvezda // Gigamic // Arclight Games // Lacerta // Conclave Editora // Stronghold Games // Korea Boardgames // uplay.it edizioni // YOKA Games // Broadway Toys LTD // Pegasus Spiele // Delta Vision Publishing // Ediciones MasQueOca // Ludicus // MINDOK // Plan B Games // 999 Games // eggertspiele,https://boardgamegeek.com/xmlapi2/thing?id=193738&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
84876,The Castles of Burgundy,8.14108,62284,9728,2940,2.9782,2011,2,4,30,90,90,12,Territory Building // Dice // Medieval,Grid Coverage // End Game Bonuses // Hexagon Grid // Pattern Building // Tile Placement // Turn Order: Stat-Based // Dice Rolling // Open Drafting // Variable Set-up,Stefan Feld,Ravensburger // Giochi Uniti // Rebel Sp. z o.o. // Broadway Toys LTD // alea // Grow Jogos e Brinquedos // Hobby World // Maldito Games,https://boardgamegeek.com/xmlapi2/thing?id=84876&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
169786,Scythe,8.14427,83487,12472,3301,3.4453,2016,1,5,90,115,115,14,Economic // Fighting // Science Fiction // Territory Building,Victory Points as a Resource // Movement Points // Variable Player Powers // Variable Set-up // Force Commitment // End Game Bonuses // Solo / Solitaire Game // Take That // Tech Trees / Tech Tracks // Contracts // Area Majority / Influence // Hexagon Grid // Zone of Control // King of the Hill // Grid Movement // Narrative Choice / Paragraph // Card Play Conflict Resolution,Jamey Stegmaier,Planeta Igor // Matagot // Playfun Games // Albi // Geekach Games // Korea Boardgames // Ghenos Games // Fire on Board Jogos // Surfin' Meeple China // Angry Lion Games // Ludofy Creative // Arclight Games // Galápagos Jogos // Maldito Games // PHALANX // Feuerland Spiele // CrowD Games // Stonemaier Games // Delta Vision Publishing // Morning,https://boardgamegeek.com/xmlapi2/thing?id=169786&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
246900,Eclipse: Second Dawn for the Galaxy,8.46059,13591,1968,484,3.6467,2020,2,6,60,200,200,14,Space Exploration // Wargame // Civilization // Exploration // Science Fiction,Alliances // Variable Player Powers // Tech Trees / Tech Tracks // Area Majority / Influence // Hexagon Grid // Modular Board // Area-Impulse // Grid Movement // Dice Rolling // Passed Action Token // Income,Touko Tahkokallio,sternenschimmermeer // Arclight Games // CrowD Games // Matagot // uplay.it edizioni // Surfin' Meeple China // Maldito Games // Lautapelit.fi // MeepleBR // TLAMA games // Pegasus Spiele,https://boardgamegeek.com/xmlapi2/thing?id=246900&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
