id,name,average,usersrated,number of comments,complexity votes,average complexity,year published,min player number,max player number,min play time,max play time,expected play time,minimum age limit,category,mechanism,game designer,publisher,url,bag of words
224517,Brass: Birmingham,8.5978,45924,6508,2269,3.8775,2018,2,4,60,120,120,14,economic post-napoleonic trains age_of_reason transportation industry_/_manufacturing,loans network_and_route_building market hand_management tech_trees_/_tech_tracks turn_order:_stat-based variable_set-up tags income,matt_tolman gavan_brown martin_wallace,funforge boardm_factory lanlalen gém_klub_kft. cmon_global_limited 盒拍工作室_hepa_studio rebel_sp._z_o.o. ghenos_games lord_of_boards arclight_games conclave_editora dexker_games maldito_games tlama_games phalanx giant_roc board_game_rookie white_goblin_games roxley crowd_games,https://boardgamegeek.com/xmlapi2/thing?id=224517&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,economic post-napoleonic trains age_of_reason transportation industry_/_manufacturing loans network_and_route_building market hand_management tech_trees_/_tech_tracks turn_order:_stat-based variable_set-up tags income matt_tolman gavan_brown martin_wallace funforge boardm_factory lanlalen gém_klub_kft. cmon_global_limited 盒拍工作室_hepa_studio rebel_sp._z_o.o. ghenos_games lord_of_boards arclight_games conclave_editora dexker_games maldito_games tlama_games phalanx giant_roc board_game_rookie white_goblin_games roxley crowd_games
161936,Pandemic Legacy: Season 1,8.52747,53515,8031,1467,2.8303,2015,2,4,60,60,60,13,medical environmental,variable_player_powers cooperative_game hand_management action_points scenario_/_mission_/_campaign_game legacy_game point_to_point_movement set_collection trading tags,matt_leacock rob_daviau,z-man_games lifestyle_boardgames_ltd hobby_japan devir korea_boardgames asterion_press gém_klub_kft. jolly_thinkers ігромаг mindok filosofia_éditions lacerta,https://boardgamegeek.com/xmlapi2/thing?id=161936&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,medical environmental variable_player_powers cooperative_game hand_management action_points scenario_/_mission_/_campaign_game legacy_game point_to_point_movement set_collection trading tags matt_leacock rob_daviau z-man_games lifestyle_boardgames_ltd hobby_japan devir korea_boardgames asterion_press gém_klub_kft. jolly_thinkers ігромаг mindok filosofia_éditions lacerta
174430,Gloomhaven,8.58904,62182,10902,2584,3.9129,2017,1,4,60,120,120,14,fighting miniatures adventure fantasy exploration,communication_limits variable_player_powers cooperative_game simultaneous_action_selection critical_hits_and_failures legacy_game tags campaign_/_battle_card_driven deck_construction solo_/_solitaire_game action_queue narrative_choice_/_paragraph card_play_conflict_resolution line_of_sight action_retrieval hexagon_grid role_playing hand_management scenario_/_mission_/_campaign_game multi-use_cards modular_board grid_movement once-per-game_abilities,isaac_childres,"games_warehouse mybg_co.,_ltd. arclight_games albi_polska feuerland_spiele korea_boardgames galápagos_jogos gém_klub_kft. hobby_world cephalofair_games albi",https://boardgamegeek.com/xmlapi2/thing?id=174430&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,"fighting miniatures adventure fantasy exploration communication_limits variable_player_powers cooperative_game simultaneous_action_selection critical_hits_and_failures legacy_game tags campaign_/_battle_card_driven deck_construction solo_/_solitaire_game action_queue narrative_choice_/_paragraph card_play_conflict_resolution line_of_sight action_retrieval hexagon_grid role_playing hand_management scenario_/_mission_/_campaign_game multi-use_cards modular_board grid_movement once-per-game_abilities isaac_childres games_warehouse mybg_co.,_ltd. arclight_games albi_polska feuerland_spiele korea_boardgames galápagos_jogos gém_klub_kft. hobby_world cephalofair_games albi"
342942,Ark Nova,8.53493,43527,5908,2361,3.7662,2021,1,4,90,150,150,14,economic animals environmental,open_drafting variable_player_powers variable_set-up hand_management increase_value_of_unchosen_resources grid_coverage end_game_bonuses solo_/_solitaire_game race hexagon_grid tile_placement set_collection action_queue tags income,mathias_wigge,capstone_games テンデイズゲームズ(tendaysgames) gém_klub_kft. mindok grok_games cmon_global_limited mipl game_harbor korea_boardgames tower_tactic_games cranio_creations ludofy_creative maldito_games super_meeple white_goblin_games feuerland_spiele portal_games regatul_jocurilor igames lautapelit.fi,https://boardgamegeek.com/xmlapi2/thing?id=342942&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,economic animals environmental open_drafting variable_player_powers variable_set-up hand_management increase_value_of_unchosen_resources grid_coverage end_game_bonuses solo_/_solitaire_game race hexagon_grid tile_placement set_collection action_queue tags income mathias_wigge capstone_games テンデイズゲームズ(tendaysgames) gém_klub_kft. mindok grok_games cmon_global_limited mipl game_harbor korea_boardgames tower_tactic_games cranio_creations ludofy_creative maldito_games super_meeple white_goblin_games feuerland_spiele portal_games regatul_jocurilor igames lautapelit.fi
233078,Twilight Imperium: Fourth Edition,8.60175,23816,3594,1186,4.3187,2017,3,6,240,480,480,14,economic space_exploration political wargame negotiation civilization exploration science_fiction,movement_points variable_player_powers action_drafting follow increase_value_of_unchosen_resources tech_trees_/_tech_tracks race voting hexagon_grid modular_board area-impulse variable_phase_order king_of_the_hill grid_movement dice_rolling trading variable_set-up,christian_t._petersen corey_konieczka dane_beltrami,sternenschimmermeer galakta arclight_games geekach_games edge_entertainment asterion_press galápagos_jogos playfun_games hobby_world adc_blackfire_entertainment fantasy_flight_games,https://boardgamegeek.com/xmlapi2/thing?id=233078&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,economic space_exploration political wargame negotiation civilization exploration science_fiction movement_points variable_player_powers action_drafting follow increase_value_of_unchosen_resources tech_trees_/_tech_tracks race voting hexagon_grid modular_board area-impulse variable_phase_order king_of_the_hill grid_movement dice_rolling trading variable_set-up christian_t._petersen corey_konieczka dane_beltrami sternenschimmermeer galakta arclight_games geekach_games edge_entertainment asterion_press galápagos_jogos playfun_games hobby_world adc_blackfire_entertainment fantasy_flight_games
316554,Dune: Imperium,8.43487,45489,6185,1659,3.0482,2020,1,4,60,120,120,14,science_fiction novel-based movies_/_tv_/_radio_theme political,"variable_player_powers increase_value_of_unchosen_resources force_commitment worker_placement deck,_bag,_and_pool_building delayed_purchase race solo_/_solitaire_game take_that multi-use_cards turn_order:_progressive open_drafting tags card_play_conflict_resolution",paul_dennen,dire_wolf sternenschimmermeer arclight_games yingdi_(旅法师营地) lavka_games geekach_games reflexshop galápagos_jogos broadway_toys_ltd rexhry lucky_duck_games tabletop_kz,https://boardgamegeek.com/xmlapi2/thing?id=316554&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,"science_fiction novel-based movies_/_tv_/_radio_theme political variable_player_powers increase_value_of_unchosen_resources force_commitment worker_placement deck,_bag,_and_pool_building delayed_purchase race solo_/_solitaire_game take_that multi-use_cards turn_order:_progressive open_drafting tags card_play_conflict_resolution paul_dennen dire_wolf sternenschimmermeer arclight_games yingdi_(旅法师营地) lavka_games geekach_games reflexshop galápagos_jogos broadway_toys_ltd rexhry lucky_duck_games tabletop_kz"
167791,Terraforming Mars,8.35958,99059,14195,4141,3.263,2016,1,5,120,120,120,12,economic industry_/_manufacturing environmental space_exploration territory_building science_fiction,victory_points_as_a_resource closed_drafting variable_player_powers variable_set-up hand_management end_game_bonuses solo_/_solitaire_game take_that tech_trees_/_tech_tracks contracts hexagon_grid tile_placement turn_order:_progressive set_collection tags income,jacob_fryxelius,"mybg_co.,_ltd. schwerkraft-verlag kaissa_chess_&_games fantasmagoria kilogames superheated_neurons lex_games mindok meeplebr mipl stronghold_games lavka_games korea_boardgames reflexshop rebel_sp._z_o.o. ghenos_games surfin'_meeple_china brädspel.se green_elephant_games arclight_games maldito_games fryxgames neotroy_games intrafin_games siam_board_games lautapelit.fi",https://boardgamegeek.com/xmlapi2/thing?id=167791&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,"economic industry_/_manufacturing environmental space_exploration territory_building science_fiction victory_points_as_a_resource closed_drafting variable_player_powers variable_set-up hand_management end_game_bonuses solo_/_solitaire_game take_that tech_trees_/_tech_tracks contracts hexagon_grid tile_placement turn_order:_progressive set_collection tags income jacob_fryxelius mybg_co.,_ltd. schwerkraft-verlag kaissa_chess_&_games fantasmagoria kilogames superheated_neurons lex_games mindok meeplebr mipl stronghold_games lavka_games korea_boardgames reflexshop rebel_sp._z_o.o. ghenos_games surfin'_meeple_china brädspel.se green_elephant_games arclight_games maldito_games fryxgames neotroy_games intrafin_games siam_board_games lautapelit.fi"
115746,War of the Ring: Second Edition,8.54238,21354,3727,1194,4.2152,2011,2,4,150,180,180,13,novel-based fighting miniatures wargame territory_building fantasy,campaign_/_battle_card_driven movement_points team-based_game action_drafting hand_management area_movement events area_majority_/_influence dice_rolling variable_set-up card_play_conflict_resolution,roberto_di_meglio marco_maggi francesco_nepitello,zhiyanjia angry_lion_games galakta heidelberger_spieleverlag schwerkraft-verlag sophisticated_games devir geekach_games red_glove rexhry ares_games planplay gaga_games nuts!_publishing,https://boardgamegeek.com/xmlapi2/thing?id=115746&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,novel-based fighting miniatures wargame territory_building fantasy campaign_/_battle_card_driven movement_points team-based_game action_drafting hand_management area_movement events area_majority_/_influence dice_rolling variable_set-up card_play_conflict_resolution roberto_di_meglio marco_maggi francesco_nepitello zhiyanjia angry_lion_games galakta heidelberger_spieleverlag schwerkraft-verlag sophisticated_games devir geekach_games red_glove rexhry ares_games planplay gaga_games nuts!_publishing
187645,Star Wars: Rebellion,8.42049,32457,4943,1147,3.7411,2016,2,4,180,240,240,14,space_exploration miniatures wargame civil_war movies_/_tv_/_radio_theme science_fiction,"variable_player_powers take_that contracts worker_placement,_different_worker_types tags area_movement events area_majority_/_influence variable_set-up card_play_conflict_resolution team-based_game delayed_purchase die_icon_resolution area-impulse income hand_management hidden_movement dice_rolling once-per-game_abilities",corey_konieczka,galakta heidelberger_spieleverlag geekach_games korea_boardgames edge_entertainment asterion_press galápagos_jogos delta_vision_publishing hobby_world adc_blackfire_entertainment fantasy_flight_games,https://boardgamegeek.com/xmlapi2/thing?id=187645&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,"space_exploration miniatures wargame civil_war movies_/_tv_/_radio_theme science_fiction variable_player_powers take_that contracts worker_placement,_different_worker_types tags area_movement events area_majority_/_influence variable_set-up card_play_conflict_resolution team-based_game delayed_purchase die_icon_resolution area-impulse income hand_management hidden_movement dice_rolling once-per-game_abilities corey_konieczka galakta heidelberger_spieleverlag geekach_games korea_boardgames edge_entertainment asterion_press galápagos_jogos delta_vision_publishing hobby_world adc_blackfire_entertainment fantasy_flight_games"
291457,Gloomhaven: Jaws of the Lion,8.44074,34279,4959,1010,3.6426,2020,1,4,30,120,120,14,fighting miniatures adventure fantasy exploration,communication_limits campaign_/_battle_card_driven variable_player_powers cooperative_game simultaneous_action_selection hand_management line_of_sight action_retrieval deck_construction critical_hits_and_failures scenario_/_mission_/_campaign_game solo_/_solitaire_game legacy_game multi-use_cards hexagon_grid grid_movement once-per-game_abilities action_queue,isaac_childres,lord_of_boards arclight_games albi_polska feuerland_spiele meanbook_games korea_boardgames siam_board_games galápagos_jogos gém_klub_kft. hobby_world coolplay cephalofair_games albi,https://boardgamegeek.com/xmlapi2/thing?id=291457&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,fighting miniatures adventure fantasy exploration communication_limits campaign_/_battle_card_driven variable_player_powers cooperative_game simultaneous_action_selection hand_management line_of_sight action_retrieval deck_construction critical_hits_and_failures scenario_/_mission_/_campaign_game solo_/_solitaire_game legacy_game multi-use_cards hexagon_grid grid_movement once-per-game_abilities action_queue isaac_childres lord_of_boards arclight_games albi_polska feuerland_spiele meanbook_games korea_boardgames siam_board_games galápagos_jogos gém_klub_kft. hobby_world coolplay cephalofair_games albi
